CASE_ID,PARTY_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED
"1450924",1,"2","F",18,"3","3","G","-","0"
"1450924",1,"2","M",19,"3","4","G","-","0"
"1450930",1,"2","M",25,"0","3","M","G","0"
"1450965",1,"1","F",37,"3","1","L","G","0"
"1450965",1,"2","M",12,"0","3","L","G","0"
"1462801",1,"1","M",26,"3","1","L","G","0"
"1472658",2,"1","F",40,"4","1","G","-","0"
"1491585",1,"2","F",29,"0","3","L","G","0"
"1491585",2,"2","F",17,"0","3","M","G","0"
"1491585",2,"2","M",18,"0","4","M","G","0"
"1491585",2,"2","F",18,"0","6","M","G","0"
"1491585",2,"2","M",19,"0","5","M","G","0"
"1498767",2,"1","M",53,"4","1","G","-","0"
"1506703",1,"1","M",54,"4","1","M","G","0"
"1506703",2,"1","F",55,"4","1","M","G","0"
"1511720",2,"2","M",43,"0","3","M","G","0"
"1521675",1,"2","M",14,"0","3","G","-","0"
"1523543",2,"2","M",56,"0","3","M","G","0"
"1540796",1,"2","F",27,"0","6","M","G","0"
"1540796",1,"2","F",0,"0","5","M","Q","0"
"1540796",2,"1","M",27,"4","1","M","G","0"
"1540796",2,"2","M",17,"0","9","M","D","0"
"1540796",2,"2","M",22,"2","3","M","G","0"
"1548102",3,"1","F",82,"4","1","M","G","0"
"1558651",1,"1","F",18,"3","1","-","W","1"
"1567641",1,"2","F",21,"3","3","M","G","0"
"1579309",1,"2","F",20,"0","3","M","G","0"
"1579309",1,"2","F",4,"0","6","P","G","0"
"1579309",1,"2","F",998,"0","4","P","G","0"
"1579309",2,"2","F",50,"0","3","M","G","0"
"1579353",1,"2","F",73,"3","3","G","-","0"
"1579353",1,"2","M",81,"4","6","G","-","0"
"1585082",1,"1","M",23,"3","1","-","W","0"
"1592394",2,"2","M",4,"0","5","Q","-","0"
"1593975",1,"2","F",5,"0","9","G","-","0"
"1593975",2,"2","F",998,"0","4","Q","-","0"
"1593975",2,"2","F",24,"0","3","G","-","0"
"1593997",2,"2","M",28,"0","3","G","-","0"
"1624110",1,"1","M",87,"2","1","G","-","0"
"1624110",3,"2","F",38,"0","3","G","-","0"
"1624145",1,"2","F",55,"0","3","M","G","0"
"1624145",2,"2","F",36,"0","3","M","G","0"
"1654828",1,"2","F",14,"0","5","M","C","0"
"1654828",1,"2","M",14,"0","4","M","G","0"
"1654828",1,"2","M",13,"0","3","M","G","0"
"1654828",1,"2","M",13,"0","6","M","G","0"
"1658882",5,"2","M",18,"0","3","M","G","0"
"1664875",1,"4","M",17,"3","9","-","-","3"
"1664875",2,"2","F",45,"0","3","G","-","0"
"1670602",2,"2","F",998,"0","3","M","G","0"
"1676808",2,"2","M",21,"0","3","M","G","0"
"1680028",1,"2","M",24,"0","3","M","G","0"
"1680028",1,"2","M",44,"0","2","P","C","0"
"1688284",1,"2","M",19,"0","3","M","G","0"
"1691244",2,"2","M",2,"0","6","M","Q","0"
"1691244",2,"1","M",37,"3","1","L","G","0"
"1691244",2,"2","M",5,"0","4","M","Q","0"
"1691244",2,"2","M",37,"0","3","L","G","0"
"1699140",1,"1","F",37,"3","1","G","-","0"
"1699140",1,"2","F",6,"0","7","G","-","0"
"1699140",1,"2","F",7,"0","7","C","-","0"
"1699140",1,"2","M",10,"0","3","G","-","0"
"1704686",1,"2","M",1,"0","6","M","Q","0"
"1715975",1,"2","F",31,"4","3","M","G","0"
"1715977",2,"1","F",45,"4","1","L","G","0"
"1727003",1,"2","F",68,"0","3","G","-","0"
"1729660",2,"2","M",24,"0","3","-","G","0"
"1730643",1,"1","-",38,"2","1","H","-","0"
"1730643",1,"2","F",20,"4","2","G","-","0"
"1737383",1,"1","M",17,"4","1","Q","-","0"
"1737383",4,"1","F",48,"4","1","G","-","0"
"1755898",2,"1","M",27,"4","1","M","G","0"
"1756060",1,"2","-",44,"0","3","P","G","0"
"1756060",3,"1","F",18,"3","1","L","G","0"
"1756113",1,"1","M",48,"4","1","M","G","0"
"1756113",2,"1","M",49,"4","1","M","G","0"
"1756113",3,"1","F",22,"3","1","M","G","0"
